Grapheme	Frequency	Codepoint	UnicodeName
np~	12	U+006E, U+0070, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER P, TILDE
Np~	1	U+004E, U+0070, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER P, TILDE
npl$	8	U+006E, U+0070, U+006C, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER P, LATIN SMALL LETTER L, DOLLAR SIGN
nq~	6	U+006E, U+0071, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER Q, TILDE
Nq~	8	U+004E, U+0071, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER Q, TILDE
nqh$	1	U+006E, U+0071, U+0068, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER Q, LATIN SMALL LETTER H, DOLLAR SIGN
Nqh$	2	U+004E, U+0071, U+0068, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER Q, LATIN SMALL LETTER H, DOLLAR SIGN
Nqr$	1	U+004E, U+0071, U+0072, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER Q, LATIN SMALL LETTER R, DOLLAR SIGN
nr~	3	U+006E, U+0072, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER R, TILDE
Nr~	2	U+004E, U+0072, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER R, TILDE
nrw$	1	U+006E, U+0072, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER R, LATIN SMALL LETTER W, DOLLAR SIGN
nry$	1	U+006E, U+0072, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER R, LATIN SMALL LETTER Y, DOLLAR SIGN
ns~	54	U+006E, U+0073, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER S, TILDE
nS~	19	U+006E, U+0053, U+007E	LATIN SMALL LETTER N, LATIN CAPITAL LETTER S, TILDE
Ns~	1	U+004E, U+0073, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER S, TILDE
nsh$	3	U+006E, U+0073, U+0068, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER S, LATIN SMALL LETTER H, DOLLAR SIGN
nsm$	1	U+006E, U+0073, U+006D, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER S, LATIN SMALL LETTER M, DOLLAR SIGN
nsw$	2	U+006E, U+0073, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER S, LATIN SMALL LETTER W, DOLLAR SIGN
nsy$	1	U+006E, U+0073, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER S, LATIN SMALL LETTER Y, DOLLAR SIGN
nSy$	1	U+006E, U+0053, U+0079, U+0024	LATIN SMALL LETTER N, LATIN CAPITAL LETTER S, LATIN SMALL LETTER Y, DOLLAR SIGN
nt"~	3	U+006E, U+0074, U+0022, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER T, QUOTATION MARK, TILDE
nt~	587	U+006E, U+0074, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER T, TILDE
nT~	69	U+006E, U+0054, U+007E	LATIN SMALL LETTER N, LATIN CAPITAL LETTER T, TILDE
Nt~	1	U+004E, U+0074, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER T, TILDE
NT~	1	U+004E, U+0054, U+007E	LATIN CAPITAL LETTER N, LATIN CAPITAL LETTER T, TILDE
ntf$	3	U+006E, U+0074, U+0066, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER F, DOLLAR SIGN
nth$	18	U+006E, U+0074, U+0068, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER H, DOLLAR SIGN
ntl$	2	U+006E, U+0074, U+006C, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER L, DOLLAR SIGN
ntL$	5	U+006E, U+0074, U+004C, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN CAPITAL LETTER L, DOLLAR SIGN
ntn$	2	U+006E, U+0074, U+006E, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER N, DOLLAR SIGN
ntr$	5	U+006E, U+0074, U+0072, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER R, DOLLAR SIGN
nts$	1	U+006E, U+0074, U+0073, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER S, DOLLAR SIGN
ntS$	1	U+006E, U+0074, U+0053, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN CAPITAL LETTER S, DOLLAR SIGN
ntv$	1	U+006E, U+0074, U+0076, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER V, DOLLAR SIGN
ntw$	10	U+006E, U+0074, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER W, DOLLAR SIGN
nTw$	1	U+006E, U+0054, U+0077, U+0024	LATIN SMALL LETTER N, LATIN CAPITAL LETTER T, LATIN SMALL LETTER W, DOLLAR SIGN
nty$	6	U+006E, U+0074, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER T, LATIN SMALL LETTER Y, DOLLAR SIGN
nTy$	2	U+006E, U+0054, U+0079, U+0024	LATIN SMALL LETTER N, LATIN CAPITAL LETTER T, LATIN SMALL LETTER Y, DOLLAR SIGN
nv~	19	U+006E, U+0076, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER V, TILDE
nvw$	2	U+006E, U+0076, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER V, LATIN SMALL LETTER W, DOLLAR SIGN
Nw*~	1	U+004E, U+0077, U+002A, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER W, ASTERISK, TILDE
nw~	203	U+006E, U+0077, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER W, TILDE
Nw~	208	U+004E, U+0077, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER W, TILDE
nx~	30	U+006E, U+0078, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER X, TILDE
nX~	8	U+006E, U+0058, U+007E	LATIN SMALL LETTER N, LATIN CAPITAL LETTER X, TILDE
Nx~	13	U+004E, U+0078, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER X, TILDE
NX~	1	U+004E, U+0058, U+007E	LATIN CAPITAL LETTER N, LATIN CAPITAL LETTER X, TILDE
Nxw$	3	U+004E, U+0078, U+0077, U+0024	LATIN CAPITAL LETTER N, LATIN SMALL LETTER X, LATIN SMALL LETTER W, DOLLAR SIGN
ny~	370	U+006E, U+0079, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER Y, TILDE
Ny~	31	U+004E, U+0079, U+007E	LATIN CAPITAL LETTER N, LATIN SMALL LETTER Y, TILDE
nz~	151	U+006E, U+007A, U+007E	LATIN SMALL LETTER N, LATIN SMALL LETTER Z, TILDE
nZ~	18	U+006E, U+005A, U+007E	LATIN SMALL LETTER N, LATIN CAPITAL LETTER Z, TILDE
nzh$	1	U+006E, U+007A, U+0068, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER Z, LATIN SMALL LETTER H, DOLLAR SIGN
nzw$	3	U+006E, U+007A, U+0077, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER Z, LATIN SMALL LETTER W, DOLLAR SIGN
nzy$	2	U+006E, U+007A, U+0079, U+0024	LATIN SMALL LETTER N, LATIN SMALL LETTER Z, LATIN SMALL LETTER Y, DOLLAR SIGN
nZy$	1	U+006E, U+005A, U+0079, U+0024	LATIN SMALL LETTER N, LATIN CAPITAL LETTER Z, LATIN SMALL LETTER Y, DOLLAR SIGN
o	72207	U+006F	LATIN SMALL LETTER O
o*	1792	U+006F, U+002A	LATIN SMALL LETTER O, ASTERISK
oh~	1	U+006F, U+0068, U+007E	LATIN SMALL LETTER O, LATIN SMALL LETTER H, TILDE
oS~	1	U+006F, U+0053, U+007E	LATIN SMALL LETTER O, LATIN CAPITAL LETTER S, TILDE
ov~	1	U+006F, U+0076, U+007E	LATIN SMALL LETTER O, LATIN SMALL LETTER V, TILDE
ow~	3	U+006F, U+0077, U+007E	LATIN SMALL LETTER O, LATIN SMALL LETTER W, TILDE
p	22111	U+0070	LATIN SMALL LETTER P
p"	253	U+0070, U+0022	LATIN SMALL LETTER P, QUOTATION MARK
p"r~	1	U+0070, U+0022, U+0072, U+007E	LATIN SMALL LETTER P, QUOTATION MARK, LATIN SMALL LETTER R, TILDE
p"X~	1	U+0070, U+0022, U+0058, U+007E	LATIN SMALL LETTER P, QUOTATION MARK, LATIN CAPITAL LETTER X, TILDE
p"y~	1	U+0070, U+0022, U+0079, U+007E	LATIN SMALL LETTER P, QUOTATION MARK, LATIN SMALL LETTER Y, TILDE
p7~	3	U+0070, U+0037, U+007E	LATIN SMALL LETTER P, DIGIT SEVEN, TILDE
pd~	1	U+0070, U+0064, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER D, TILDE
pf"~	1	U+0070, U+0066, U+0022, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER F, QUOTATION MARK, TILDE
pf~	32	U+0070, U+0066, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER F, TILDE
pfh$	1	U+0070, U+0066, U+0068, U+0024	LATIN SMALL LETTER P, LATIN SMALL LETTER F, LATIN SMALL LETTER H, DOLLAR SIGN
pfw$	3	U+0070, U+0066, U+0077, U+0024	LATIN SMALL LETTER P, LATIN SMALL LETTER F, LATIN SMALL LETTER W, DOLLAR SIGN
ph~	897	U+0070, U+0068, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER H, TILDE
phl$	1	U+0070, U+0068, U+006C, U+0024	LATIN SMALL LETTER P, LATIN SMALL LETTER H, LATIN SMALL LETTER L, DOLLAR SIGN
phv$	1	U+0070, U+0068, U+0076, U+0024	LATIN SMALL LETTER P, LATIN SMALL LETTER H, LATIN SMALL LETTER V, DOLLAR SIGN
phx$	1	U+0070, U+0068, U+0078, U+0024	LATIN SMALL LETTER P, LATIN SMALL LETTER H, LATIN SMALL LETTER X, DOLLAR SIGN
phy$	25	U+0070, U+0068, U+0079, U+0024	LATIN SMALL LETTER P, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
pk~	1	U+0070, U+006B, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER K, TILDE
pl~	6	U+0070, U+006C, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER L, TILDE
pm~	23	U+0070, U+006D, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER M, TILDE
pn~	1	U+0070, U+006E, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER N, TILDE
pr~	1	U+0070, U+0072, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER R, TILDE
ps~	2	U+0070, U+0073, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER S, TILDE
pS~	2	U+0070, U+0053, U+007E	LATIN SMALL LETTER P, LATIN CAPITAL LETTER S, TILDE
pv~	9	U+0070, U+0076, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER V, TILDE
pw~	230	U+0070, U+0077, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER W, TILDE
px~	9	U+0070, U+0078, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER X, TILDE
pX~	3	U+0070, U+0058, U+007E	LATIN SMALL LETTER P, LATIN CAPITAL LETTER X, TILDE
py~	214	U+0070, U+0079, U+007E	LATIN SMALL LETTER P, LATIN SMALL LETTER Y, TILDE
q	4374	U+0071	LATIN SMALL LETTER Q
q!~	3	U+0071, U+0021, U+007E	LATIN SMALL LETTER Q, EXCLAMATION MARK, TILDE
q!h$	5	U+0071, U+0021, U+0068, U+0024	LATIN SMALL LETTER Q, EXCLAMATION MARK, LATIN SMALL LETTER H, DOLLAR SIGN
q"	775	U+0071, U+0022	LATIN SMALL LETTER Q, QUOTATION MARK
q"w~	144	U+0071, U+0022, U+0077, U+007E	LATIN SMALL LETTER Q, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
q"wX$	2	U+0071, U+0022, U+0077, U+0058, U+0024	LATIN SMALL LETTER Q, QUOTATION MARK, LATIN SMALL LETTER W, LATIN CAPITAL LETTER X, DOLLAR SIGN
q"X~	8	U+0071, U+0022, U+0058, U+007E	LATIN SMALL LETTER Q, QUOTATION MARK, LATIN CAPITAL LETTER X, TILDE
q7~	3	U+0071, U+0037, U+007E	LATIN SMALL LETTER Q, DIGIT SEVEN, TILDE
qh~	103	U+0071, U+0068, U+007E	LATIN SMALL LETTER Q, LATIN SMALL LETTER H, TILDE
qhw$	9	U+0071, U+0068, U+0077, U+0024	LATIN SMALL LETTER Q, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
qmb$	2	U+0071, U+006D, U+0062, U+0024	LATIN SMALL LETTER Q, LATIN SMALL LETTER M, LATIN SMALL LETTER B, DOLLAR SIGN
qnj$	1	U+0071, U+006E, U+006A, U+0024	LATIN SMALL LETTER Q, LATIN SMALL LETTER N, LATIN SMALL LETTER J, DOLLAR SIGN
qw"~	1	U+0071, U+0077, U+0022, U+007E	LATIN SMALL LETTER Q, LATIN SMALL LETTER W, QUOTATION MARK, TILDE
qw"X$	1	U+0071, U+0077, U+0022, U+0058, U+0024	LATIN SMALL LETTER Q, LATIN SMALL LETTER W, QUOTATION MARK, LATIN CAPITAL LETTER X, DOLLAR SIGN
qw~	296	U+0071, U+0077, U+007E	LATIN SMALL LETTER Q, LATIN SMALL LETTER W, TILDE
qwX$	1	U+0071, U+0077, U+0058, U+0024	LATIN SMALL LETTER Q, LATIN SMALL LETTER W, LATIN CAPITAL LETTER X, DOLLAR SIGN
qX"~	1	U+0071, U+0058, U+0022, U+007E	LATIN SMALL LETTER Q, LATIN CAPITAL LETTER X, QUOTATION MARK, TILDE
qx~	1	U+0071, U+0078, U+007E	LATIN SMALL LETTER Q, LATIN SMALL LETTER X, TILDE
qX~	47	U+0071, U+0058, U+007E	LATIN SMALL LETTER Q, LATIN CAPITAL LETTER X, TILDE
qxw$	1	U+0071, U+0078, U+0077, U+0024	LATIN SMALL LETTER Q, LATIN SMALL LETTER X, LATIN SMALL LETTER W, DOLLAR SIGN
qXw$	1	U+0071, U+0058, U+0077, U+0024	LATIN SMALL LETTER Q, LATIN CAPITAL LETTER X, LATIN SMALL LETTER W, DOLLAR SIGN
qXX$	2	U+0071, U+0058, U+0058, U+0024	LATIN SMALL LETTER Q, LATIN CAPITAL LETTER X, LATIN CAPITAL LETTER X, DOLLAR SIGN
qy~	11	U+0071, U+0079, U+007E	LATIN SMALL LETTER Q, LATIN SMALL LETTER Y, TILDE
r	38473	U+0072	LATIN SMALL LETTER R
r"	8	U+0072, U+0022	LATIN SMALL LETTER R, QUOTATION MARK
r5~	1	U+0072, U+0035, U+007E	LATIN SMALL LETTER R, DIGIT FIVE, TILDE
r7~	24	U+0072, U+0037, U+007E	LATIN SMALL LETTER R, DIGIT SEVEN, TILDE
rd~	6	U+0072, U+0064, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER D, TILDE
rg~	1	U+0072, U+0067, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER G, TILDE
rh~	37	U+0072, U+0068, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER H, TILDE
rj~	3	U+0072, U+006A, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER J, TILDE
rkr$	1	U+0072, U+006B, U+0072, U+0024	LATIN SMALL LETTER R, LATIN SMALL LETTER K, LATIN SMALL LETTER R, DOLLAR SIGN
rkw$	2	U+0072, U+006B, U+0077, U+0024	LATIN SMALL LETTER R, LATIN SMALL LETTER K, LATIN SMALL LETTER W, DOLLAR SIGN
rl~	4	U+0072, U+006C, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER L, TILDE
rn~	28	U+0072, U+006E, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER N, TILDE
rnd$	2	U+0072, U+006E, U+0064, U+0024	LATIN SMALL LETTER R, LATIN SMALL LETTER N, LATIN SMALL LETTER D, DOLLAR SIGN
rp"r$	1	U+0072, U+0070, U+0022, U+0072, U+0024	LATIN SMALL LETTER R, LATIN SMALL LETTER P, QUOTATION MARK, LATIN SMALL LETTER R, DOLLAR SIGN
rp~	1	U+0072, U+0070, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER P, TILDE
rr~	3	U+0072, U+0072, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER R, TILDE
rt~	7	U+0072, U+0074, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER T, TILDE
rw~	38	U+0072, U+0077, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER W, TILDE
rx~	30	U+0072, U+0078, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER X, TILDE
rX~	25	U+0072, U+0058, U+007E	LATIN SMALL LETTER R, LATIN CAPITAL LETTER X, TILDE
ry~	97	U+0072, U+0079, U+007E	LATIN SMALL LETTER R, LATIN SMALL LETTER Y, TILDE
s	29942	U+0073	LATIN SMALL LETTER S
S	7860	U+0053	LATIN CAPITAL LETTER S
s"	80	U+0073, U+0022	LATIN SMALL LETTER S, QUOTATION MARK
S"	12	U+0053, U+0022	LATIN CAPITAL LETTER S, QUOTATION MARK
S"h~	1	U+0053, U+0022, U+0068, U+007E	LATIN CAPITAL LETTER S, QUOTATION MARK, LATIN SMALL LETTER H, TILDE
S"w~	1	U+0053, U+0022, U+0077, U+007E	LATIN CAPITAL LETTER S, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
s7~	15	U+0073, U+0037, U+007E	LATIN SMALL LETTER S, DIGIT SEVEN, TILDE
S7~	8	U+0053, U+0037, U+007E	LATIN CAPITAL LETTER S, DIGIT SEVEN, TILDE
S8~	1	U+0053, U+0038, U+007E	LATIN CAPITAL LETTER S, DIGIT EIGHT, TILDE
Sb~	1	U+0053, U+0062, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER B, TILDE
sc~	1	U+0073, U+0063, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER C, TILDE
sC~	1	U+0073, U+0043, U+007E	LATIN SMALL LETTER S, LATIN CAPITAL LETTER C, TILDE
sf~	2	U+0073, U+0066, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER F, TILDE
Sf~	2	U+0053, U+0066, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER F, TILDE
sh~	99	U+0073, U+0068, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER H, TILDE
Sh~	28	U+0053, U+0068, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER H, TILDE
sk~	1	U+0073, U+006B, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER K, TILDE
Sk~	1	U+0053, U+006B, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER K, TILDE
Sk7$	1	U+0053, U+006B, U+0037, U+0024	LATIN CAPITAL LETTER S, LATIN SMALL LETTER K, DIGIT SEVEN, DOLLAR SIGN
skw$	1	U+0073, U+006B, U+0077, U+0024	LATIN SMALL LETTER S, LATIN SMALL LETTER K, LATIN SMALL LETTER W, DOLLAR SIGN
Skw$	1	U+0053, U+006B, U+0077, U+0024	LATIN CAPITAL LETTER S, LATIN SMALL LETTER K, LATIN SMALL LETTER W, DOLLAR SIGN
sl~	3	U+0073, U+006C, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER L, TILDE
sn~	1	U+0073, U+006E, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER N, TILDE
sr~	17	U+0073, U+0072, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER R, TILDE
srw$	1	U+0073, U+0072, U+0077, U+0024	LATIN SMALL LETTER S, LATIN SMALL LETTER R, LATIN SMALL LETTER W, DOLLAR SIGN
ss~	1	U+0073, U+0073, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER S, TILDE
st~	2	U+0073, U+0074, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER T, TILDE
St~	1	U+0053, U+0074, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER T, TILDE
sv~	4	U+0073, U+0076, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER V, TILDE
Sv~	1	U+0053, U+0076, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER V, TILDE
sw~	120	U+0073, U+0077, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER W, TILDE
Sw~	40	U+0053, U+0077, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER W, TILDE
sx~	17	U+0073, U+0078, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER X, TILDE
sX~	21	U+0073, U+0058, U+007E	LATIN SMALL LETTER S, LATIN CAPITAL LETTER X, TILDE
Sx~	8	U+0053, U+0078, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER X, TILDE
SX~	1	U+0053, U+0058, U+007E	LATIN CAPITAL LETTER S, LATIN CAPITAL LETTER X, TILDE
sy~	221	U+0073, U+0079, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER Y, TILDE
Sy~	47	U+0053, U+0079, U+007E	LATIN CAPITAL LETTER S, LATIN SMALL LETTER Y, TILDE
syh$	5	U+0073, U+0079, U+0068, U+0024	LATIN SMALL LETTER S, LATIN SMALL LETTER Y, LATIN SMALL LETTER H, DOLLAR SIGN
sz~	25	U+0073, U+007A, U+007E	LATIN SMALL LETTER S, LATIN SMALL LETTER Z, TILDE
sZ~	4	U+0073, U+005A, U+007E	LATIN SMALL LETTER S, LATIN CAPITAL LETTER Z, TILDE
SZ~	12	U+0053, U+005A, U+007E	LATIN CAPITAL LETTER S, LATIN CAPITAL LETTER Z, TILDE
t	49216	U+0074	LATIN SMALL LETTER T
T	2829	U+0054	LATIN CAPITAL LETTER T
t"	714	U+0074, U+0022	LATIN SMALL LETTER T, QUOTATION MARK
T"	60	U+0054, U+0022	LATIN CAPITAL LETTER T, QUOTATION MARK
t"8~	25	U+0074, U+0022, U+0038, U+007E	LATIN SMALL LETTER T, QUOTATION MARK, DIGIT EIGHT, TILDE
t"h~	1	U+0074, U+0022, U+0068, U+007E	LATIN SMALL LETTER T, QUOTATION MARK, LATIN SMALL LETTER H, TILDE
t"w~	4	U+0074, U+0022, U+0077, U+007E	LATIN SMALL LETTER T, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
t"X~	4	U+0074, U+0022, U+0058, U+007E	LATIN SMALL LETTER T, QUOTATION MARK, LATIN CAPITAL LETTER X, TILDE
t"y~	3	U+0074, U+0022, U+0079, U+007E	LATIN SMALL LETTER T, QUOTATION MARK, LATIN SMALL LETTER Y, TILDE
T"y~	2	U+0054, U+0022, U+0079, U+007E	LATIN CAPITAL LETTER T, QUOTATION MARK, LATIN SMALL LETTER Y, TILDE
T5~	1	U+0054, U+0035, U+007E	LATIN CAPITAL LETTER T, DIGIT FIVE, TILDE
t7~	28	U+0074, U+0037, U+007E	LATIN SMALL LETTER T, DIGIT SEVEN, TILDE
t8~	25	U+0074, U+0038, U+007E	LATIN SMALL LETTER T, DIGIT EIGHT, TILDE
t8h$	2	U+0074, U+0038, U+0068, U+0024	LATIN SMALL LETTER T, DIGIT EIGHT, LATIN SMALL LETTER H, DOLLAR SIGN
t8w$	2	U+0074, U+0038, U+0077, U+0024	LATIN SMALL LETTER T, DIGIT EIGHT, LATIN SMALL LETTER W, DOLLAR SIGN
tc~	1	U+0074, U+0063, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER C, TILDE
TC~	1	U+0054, U+0043, U+007E	LATIN CAPITAL LETTER T, LATIN CAPITAL LETTER C, TILDE
tf~	4	U+0074, U+0066, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER F, TILDE
tfw$	1	U+0074, U+0066, U+0077, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER F, LATIN SMALL LETTER W, DOLLAR SIGN
th~	1707	U+0074, U+0068, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER H, TILDE
Th~	138	U+0054, U+0068, U+007E	LATIN CAPITAL LETTER T, LATIN SMALL LETTER H, TILDE
th8$	1	U+0074, U+0068, U+0038, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER H, DIGIT EIGHT, DOLLAR SIGN
thv$	2	U+0074, U+0068, U+0076, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER H, LATIN SMALL LETTER V, DOLLAR SIGN
thw*$	1	U+0074, U+0068, U+0077, U+002A, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER H, LATIN SMALL LETTER W, ASTERISK, DOLLAR SIGN
thw$	10	U+0074, U+0068, U+0077, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
thy$	12	U+0074, U+0068, U+0079, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
Thy$	1	U+0054, U+0068, U+0079, U+0024	LATIN CAPITAL LETTER T, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
tj~	4	U+0074, U+006A, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER J, TILDE
Tj~	3	U+0054, U+006A, U+007E	LATIN CAPITAL LETTER T, LATIN SMALL LETTER J, TILDE
tk~	4	U+0074, U+006B, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER K, TILDE
tl"~	1	U+0074, U+006C, U+0022, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER L, QUOTATION MARK, TILDE
tL"~	37	U+0074, U+004C, U+0022, U+007E	LATIN SMALL LETTER T, LATIN CAPITAL LETTER L, QUOTATION MARK, TILDE
tL"y$	1	U+0074, U+004C, U+0022, U+0079, U+0024	LATIN SMALL LETTER T, LATIN CAPITAL LETTER L, QUOTATION MARK, LATIN SMALL LETTER Y, DOLLAR SIGN
tl~	26	U+0074, U+006C, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER L, TILDE
tL~	77	U+0074, U+004C, U+007E	LATIN SMALL LETTER T, LATIN CAPITAL LETTER L, TILDE
tl7$	2	U+0074, U+006C, U+0037, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER L, DIGIT SEVEN, DOLLAR SIGN
tlh$	3	U+0074, U+006C, U+0068, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER L, LATIN SMALL LETTER H, DOLLAR SIGN
tLh$	4	U+0074, U+004C, U+0068, U+0024	LATIN SMALL LETTER T, LATIN CAPITAL LETTER L, LATIN SMALL LETTER H, DOLLAR SIGN
tLX$	1	U+0074, U+004C, U+0058, U+0024	LATIN SMALL LETTER T, LATIN CAPITAL LETTER L, LATIN CAPITAL LETTER X, DOLLAR SIGN
tly$	3	U+0074, U+006C, U+0079, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER L, LATIN SMALL LETTER Y, DOLLAR SIGN
tn~	19	U+0074, U+006E, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER N, TILDE
tr~	103	U+0074, U+0072, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER R, TILDE
trh$	1	U+0074, U+0072, U+0068, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER R, LATIN SMALL LETTER H, DOLLAR SIGN
ts~	1	U+0074, U+0073, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER S, TILDE
