Grapheme	Frequency	Codepoint	UnicodeName
c"w~	12	U+0063, U+0022, U+0077, U+007E	LATIN SMALL LETTER C, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
C"w~	3	U+0043, U+0022, U+0077, U+007E	LATIN CAPITAL LETTER C, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
c"X~	1	U+0063, U+0022, U+0058, U+007E	LATIN SMALL LETTER C, QUOTATION MARK, LATIN CAPITAL LETTER X, TILDE
c"y~	1	U+0063, U+0022, U+0079, U+007E	LATIN SMALL LETTER C, QUOTATION MARK, LATIN SMALL LETTER Y, TILDE
C"y~	8	U+0043, U+0022, U+0079, U+007E	LATIN CAPITAL LETTER C, QUOTATION MARK, LATIN SMALL LETTER Y, TILDE
c7~	14	U+0063, U+0037, U+007E	LATIN SMALL LETTER C, DIGIT SEVEN, TILDE
C7~	8	U+0043, U+0037, U+007E	LATIN CAPITAL LETTER C, DIGIT SEVEN, TILDE
cb~	1	U+0063, U+0062, U+007E	LATIN SMALL LETTER C, LATIN SMALL LETTER B, TILDE
Cf~	2	U+0043, U+0066, U+007E	LATIN CAPITAL LETTER C, LATIN SMALL LETTER F, TILDE
ch~	359	U+0063, U+0068, U+007E	LATIN SMALL LETTER C, LATIN SMALL LETTER H, TILDE
Ch~	414	U+0043, U+0068, U+007E	LATIN CAPITAL LETTER C, LATIN SMALL LETTER H, TILDE
Ch7$	1	U+0043, U+0068, U+0037, U+0024	LATIN CAPITAL LETTER C, LATIN SMALL LETTER H, DIGIT SEVEN, DOLLAR SIGN
chv$	4	U+0063, U+0068, U+0076, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER V, DOLLAR SIGN
Chv$	4	U+0043, U+0068, U+0076, U+0024	LATIN CAPITAL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER V, DOLLAR SIGN
chw$	1	U+0063, U+0068, U+0077, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
Chw$	1	U+0043, U+0068, U+0077, U+0024	LATIN CAPITAL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
chx$	1	U+0063, U+0068, U+0078, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER X, DOLLAR SIGN
chy$	2	U+0063, U+0068, U+0079, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
