left	graphemes	right	class	codepoints	Unicode_names	IPA_names
⁂	↓		V	U+2193	DOWNWARDS ARROW	downstep
⁂	↗		V	U+2197	NORTH EAST ARROW	global rise
⁂	↘		V	U+2198	SOUTH EAST ARROW	global fall
⁂	͡		W	U+0361	COMBINING DOUBLE INVERTED BREVE	tie bar
	ˈ			U+02C8	MODIFIER LETTER VERTICAL LINE	primary stress
	ˌ			U+02CC	MODIFIER LETTER LOW VERTICAL LINE	secondary stress
	 			U+0020	SPACE	word break
	.			U+002E	FULL STOP	syllable break
	|			U+007C	VERTICAL LINE	minor group break (foot)
	‖			U+2016	DOUBLE VERTICAL LINE	major group break (intonation)
	‿			U+203F	UNDERTIE	linking (absence of a break)
	1A?B?C?D?E?F?G?H?I?J?K?L?M?N?P?Q?R?S?T?U*V?(W1A?B?C?D?E?F?G?H?I?J?K?L?M?N?P?Q?R?S?T?U*V?)*					complex IPA grapheme
