Grapheme	Codepoint	UnicodeName	IPAName
ʄ	U+0284	LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK	voiced palatal implosive
k	U+006B	LATIN SMALL LETTER K	voiceless velar plosive
l	U+006C	LATIN SMALL LETTER L	voiced alveolar lateral approximant
ʟ	U+029F	LATIN LETTER SMALL CAPITAL L	voiced velar lateral approximant
ɬ	U+026C	LATIN SMALL LETTER L WITH BELT	voiceless alveolar lateral fricative
ɭ	U+026D	LATIN SMALL LETTER L WITH RETROFLEX HOOK	voiced retroflex lateral approximant
ɮ	U+026E	LATIN SMALL LETTER LEZH	voiced alveolar lateral fricative
ʎ	U+028E	LATIN SMALL LETTER TURNED Y	voiced palatal lateral approximant
m	U+006D	LATIN SMALL LETTER M	voiced bilabial nasal
ɱ	U+0271	LATIN SMALL LETTER M WITH HOOK	voiced labiodental nasal
n	U+006E	LATIN SMALL LETTER N	voiced alveolar nasal
ɴ	U+0274	LATIN LETTER SMALL CAPITAL N	voiced uvular nasal
ɲ	U+0272	LATIN SMALL LETTER N WITH LEFT HOOK	voiced palatal nasal
ɳ	U+0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK	voiced retroflex nasal
ŋ	U+014B	LATIN SMALL LETTER ENG	voiced velar nasal
o	U+006F	LATIN SMALL LETTER O	close-mid back rounded
ø	U+00F8	LATIN SMALL LETTER O WITH STROKE	close-mid front rounded
œ	U+0153	LATIN SMALL LIGATURE OE	open-mid front rounded
ɶ	U+0276	LATIN LETTER SMALL CAPITAL OE	open front rounded
ɔ	U+0254	LATIN SMALL LETTER OPEN O	open-mid back rounded
ɵ	U+0275	LATIN SMALL LETTER BARRED O	close-mid central rounded
p	U+0070	LATIN SMALL LETTER P	voiceless bilabial plosive
ɸ	U+0278	LATIN SMALL LETTER PHI	voiceless bilabial fricative
q	U+0071	LATIN SMALL LETTER Q	voiceless uvular plosive
r	U+0072	LATIN SMALL LETTER R	voiced alveolar trill
ʀ	U+0280	LATIN LETTER SMALL CAPITAL R	voiced uvular trill
ɹ	U+0279	LATIN SMALL LETTER TURNED R	voiced alveolar approximant
ɺ	U+027A	LATIN SMALL LETTER TURNED R WITH LONG LEG	voiced alveolar lateral flap
ɻ	U+027B	LATIN SMALL LETTER TURNED R WITH HOOK	voiced retroflex approximant
ɽ	U+027D	LATIN SMALL LETTER R WITH TAIL	voiced retroflex tap
ɾ	U+027E	LATIN SMALL LETTER R WITH FISHHOOK	voiced alveolar tap
ʁ	U+0281	LATIN LETTER SMALL CAPITAL INVERTED R	voiced uvular fricative
s	U+0073	LATIN SMALL LETTER S	voiceless alveolar fricative
ʂ	U+0282	LATIN SMALL LETTER S WITH HOOK	voiceless retroflex fricative
ʃ	U+0283	LATIN SMALL LETTER ESH	voiceless postalveolar fricative
t	U+0074	LATIN SMALL LETTER T	voiceless alveolar plosive
ʈ	U+0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK	voiceless retroflex plosive
u	U+0075	LATIN SMALL LETTER U	close back rounded
ʉ	U+0289	LATIN SMALL LETTER U BAR	close central rounded
ɥ	U+0265	LATIN SMALL LETTER TURNED H	voiced labial-palatal approximant
ɯ	U+026F	LATIN SMALL LETTER TURNED M	close back unrounded
ɰ	U+0270	LATIN SMALL LETTER TURNED M WITH LONG LEG	voiced velar approximant
ʊ	U+028A	LATIN SMALL LETTER UPSILON	lax close back rounded
v	U+0076	LATIN SMALL LETTER V	voiced labiodental fricative
ʋ	U+028B	LATIN SMALL LETTER V WITH HOOK	voiced labiodental approximant
ⱱ	U+2C71	LATIN SMALL LETTER V WITH RIGHT HOOK	voiced labiodental tap
ʌ	U+028C	LATIN SMALL LETTER TURNED V	open-mid back unrounded
w	U+0077	LATIN SMALL LETTER W	voiced labial-velar approximant
ʍ	U+028D	LATIN SMALL LETTER TURNED W	voiceless labial-velar fricative
x	U+0078	LATIN SMALL LETTER X	voiceless velar fricative
y	U+0079	LATIN SMALL LETTER Y	close front rounded
ʏ	U+028F	LATIN LETTER SMALL CAPITAL Y	lax close front rounded
z	U+007A	LATIN SMALL LETTER Z	voiced alveolar fricative
ʐ	U+0290	LATIN SMALL LETTER Z WITH RETROFLEX HOOK	voiced retroflex fricative
ʑ	U+0291	LATIN SMALL LETTER Z WITH CURL	voiced alveolo-palatal fricative
ʒ	U+0292	LATIN SMALL LETTER EZH	voiced postalveolar fricative
ʔ	U+0294	LATIN LETTER GLOTTAL STOP	voiceless glottal plosive
ʕ	U+0295	LATIN LETTER PHARYNGEAL VOICED FRICATIVE	voiced pharyngeal fricative
ʡ	U+02A1	LATIN LETTER GLOTTAL STOP WITH STROKE	epiglottal plosive
ʢ	U+02A2	LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE	voiced epiglottal fricative
ǀ	U+01C0	LATIN LETTER DENTAL CLICK	voiceless dental click
ǁ	U+01C1	LATIN LETTER LATERAL CLICK	voiceless alveolar lateral click
ǂ	U+01C2	LATIN LETTER ALVEOLAR CLICK	voiceless palatoalveolar click
ǃ	U+01C3	LATIN LETTER RETROFLEX CLICK	voiceless (post)alveolar click
ʘ	U+0298	LATIN LETTER BILABIAL CLICK	voiceless bilabial click
β	U+03B2	GREEK SMALL LETTER BETA	voiced bilabial fricative
θ	U+03B8	GREEK SMALL LETTER THETA	voiceless dental fricative
χ	U+03C7	GREEK SMALL LETTER CHI	voiceless uvular fricative
̴	U+0334	COMBINING TILDE OVERLAY	velarized or pharyngealized
̼	U+033C	COMBINING SEAGULL BELOW	linguolabial
̪	U+032A	COMBINING BRIDGE BELOW	dental
̻	U+033B	COMBINING SQUARE BELOW	laminal
̺	U+033A	COMBINING INVERTED BRIDGE BELOW	apical
̟	U+031F	COMBINING PLUS SIGN BELOW	advanced
̠	U+0320	COMBINING MINUS SIGN BELOW	retracted
̝	U+031D	COMBINING UP TACK BELOW	raised
̞	U+031E	COMBINING DOWN TACK BELOW	lowered
̘	U+0318	COMBINING LEFT TACK BELOW	advanced tongue root
̙	U+0319	COMBINING RIGHT TACK BELOW	retracted tongue root
̜	U+031C	COMBINING LEFT HALF RING BELOW	less rounded
̹	U+0339	COMBINING RIGHT HALF RING BELOW	more rounded
̬	U+032C	COMBINING CARON BELOW	voiced
̥	U+0325	COMBINING RING BELOW	voiceless (below)
̊	U+030A	COMBINING RING ABOVE	voiceless (above)
̰	U+0330	COMBINING TILDE BELOW	creaky voiced
̤	U+0324	COMBINING DIAERESIS BELOW	breathy voiced
̩	U+0329	COMBINING VERTICAL LINE BELOW	syllabic
̯	U+032F	COMBINING INVERTED BREVE BELOW	non-syllabic
̃	U+0303	COMBINING TILDE	nasalized
̈	U+0308	COMBINING DIAERESIS	centralized
̽	U+033D	COMBINING X ABOVE	mid-centralized
̆	U+0306	COMBINING BREVE	extra-short
̚	U+031A	COMBINING LEFT ANGLE ABOVE	no audible release
˞	U+02DE	MODIFIER LETTER RHOTIC HOOK	rhotacized
ˡ	U+02E1	MODIFIER LETTER SMALL L	lateral release
ⁿ	U+207F	SUPERSCRIPT LATIN SMALL LETTER N	nasal release
ʷ	U+02B7	MODIFIER LETTER SMALL W	labialized
ʲ	U+02B2	MODIFIER LETTER SMALL J	palatalized
ˠ	U+02E0	MODIFIER LETTER SMALL GAMMA	velarized
ˤ	U+02E4	MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	pharyngealized
ʰ	U+02B0	MODIFIER LETTER SMALL H	aspirated
ʼ	U+02BC	MODIFIER LETTER APOSTROPHE	ejective
ː	U+02D0	MODIFIER LETTER TRIANGULAR COLON	long
ˑ	U+02D1	MODIFIER LETTER HALF TRIANGULAR COLON	half-long
͡	U+0361	COMBINING DOUBLE INVERTED BREVE	tie bar (above)
͜	U+035C	COMBINING DOUBLE BREVE BELOW	tie bar (below)
̋	U+030B	COMBINING DOUBLE ACUTE ACCENT	extra high tone
́	U+0301	COMBINING ACUTE ACCENT	high tone
̄	U+0304	COMBINING MACRON	mid tone
̀	U+0300	COMBINING GRAVE ACCENT	low tone
̏	U+030F	COMBINING DOUBLE GRAVE ACCENT	extra low tone
̂	U+0302	COMBINING CIRCUMFLEX ACCENT	falling
̌	U+030C	COMBINING CARON	rising
᷄	U+1DC4	COMBINING MACRON-ACUTE	high rising
᷅	U+1DC5	COMBINING GRAVE-MACRON	low rising
᷆	U+1DC6	COMBINING MACRON-GRAVE	low falling
᷇	U+1DC7	COMBINING ACUTE-MACRON	high falling
᷈	U+1DC8	COMBINING GRAVE-ACUTE-GRAVE	rising-falling
᷉	U+1DC9	COMBINING ACUTE-GRAVE-ACUTE	falling-rising 
˥	U+02E5	MODIFIER LETTER EXTRA-HIGH TONE BAR	extra high tone
˦	U+02E6	MODIFIER LETTER HIGH TONE BAR	high tone
˧	U+02E7	MODIFIER LETTER MID TONE BAR	mid tone
˨	U+02E8	MODIFIER LETTER LOW TONE BAR	low tone
˩	U+02E9	MODIFIER LETTER EXTRA-LOW TONE BAR	extra low tone
↑	U+2191	UPWARDS ARROW	upstep
↓	U+2193	DOWNWARDS ARROW	downstep
↗	U+2197	NORTH EAST ARROW	global rise
↘	U+2198	SOUTH EAST ARROW	global fall
ˈ	U+02C8	MODIFIER LETTER VERTICAL LINE	primary stress
ˌ	U+02CC	MODIFIER LETTER LOW VERTICAL LINE	secondary stress
 	U+0020	SPACE	word break
.	U+002E	FULL STOP	syllable break
|	U+007C	VERTICAL LINE	minor group break (foot)
‖	U+2016	DOUBLE VERTICAL LINE	major group break (intonation)
‿	U+203F	UNDERTIE	linking (absence of a break)

