365	8358	17
114	7005	3
112	7215	0
125	8749	7
148	519	5
1038	9964	0
3433	3755	8
101	2922	4
9904	8502	6
134	3658	1
117	8812	3
6827	9356	5
171	5682	10
5168	7776	12
829	564	10
251	19	12
203	7161	6
11412	1884	2
146	8297	5
687	8487	15
17590	3861	0
8	8060	14
194	3257	27
15448	2797	14
133	5939	24
140	7734	2
458	4341	19
153	875	15
16552	4614	1
102	703	17
23573	7199	4
21	3966	18
839	4750	2
14	1128	5
322	6836	1
19887	2826	12
394	9869	3
4271	8308	7
104	7963	32
483	7334	10
259	1965	26
1226	1652	4
115	7293	8
914	1119	15
148	4069	8
1581	2814	9
14	985	10
106	8738	15
102	1485	3
1832	6239	25
3079	4915	3
204	7853	2
1655	5949	4
7340	8383	16
14	2940	17
379	8219	2
11230	6755	6
102	2215	9
6853	6068	8
7	2080	6
3157	9033	8
517	7383	3
29404	816	4
104	7711	12
102	128	4
101	6629	6
609	5674	9
4698	5813	8
27690	6112	6
105	982	3
104	4159	5
106	5326	8
104	3161	2
225	8795	4
16	9734	4
967	1351	10
1140	1013	2
4154	2894	10
135	7385	7
126	6548	15
137	8092	13
119	6695	12
140	6796	5
114	436	7
163	9313	3
144	1997	3
3665	6573	19
1060	8203	2
256	8403	2
102	4154	2
790	5534	10
28870	478	4
15	9102	19
102	9628	6
148	1589	5
22629	8826	3
105	8397	5
112	310	0
1807	809	8
22812	9742	6
2643	682	5
2762	6318	6
104	6095	1
6088	674	0
23530	6891	5
282	5445	15
4259	4278	23
1268	3345	0
14	4868	18
2016	668	27
31175	5577	8
15878	1897	4
208	3981	20
443	8433	8
22007	3872	19
12627	8026	2
1134	7822	4
115	1029	11
7439	2935	3
106	4029	3
104	3778	20
183	3526	0
398	717	4
5623	2324	7
14	585	20
101	2800	11
830	6240	14
103	7596	3
394	4858	18
1594	1625	12
104	4251	6
3889	4790	6
874	2397	7
12	9001	11
27565	3902	6
170	819	17
1833	5373	5
18310	9784	16
104	7665	12
1678	6414	22
102	878	4
15957	9393	2
2888	743	5
7	8142	7
138	5873	0
17	4633	5
132	7764	20
14896	2611	19
20467	1993	7
162	5442	22
692	5683	13
103	7083	7
104	5853	9
10893	7710	0
106	995	20
269	9425	19
101	8838	3
9	7480	1
227	9752	15
917	4901	18
164	2337	22
7740	8509	1
8	1584	16
61	2951	11
14	4111	26
107	1782	27
423	7636	14
145	9502	19
128	6783	8
12	6075	18
9249	6808	4
8705	9743	4
225	5026	15
