172	406	3	18.8
1275	113	3	15.08
1128	102	3	7.2
125	121	7	4.9
658	14	7	11.68
2221	115	7	70.56
159	330	3	15.88
133	170	5	12.53
1913	12	6	33.61
691	14	7	12.7
106	511	4	8.57
103	1472	4	15.74
101	225	10	4.03
118	180	4	6.17
105	326	5	6.09
155	5722	3	38.2
170	429	3	18.96
241	129	3	8.31
3304	105	3	16.07
276	110	4	7.57
107	165	7	5.55
101	687	4	4.43
136	1658	3	23.46
101	731	8	19.74
317	147	3	13.39
122	139	21	67.23
116	1954	3	20.59
354	102	22	86.82
874	111	3	11.76
151	164	6	22.35
109	880	3	10.86
204	117	11	40.98
518	186	3	21.47
4116	116	3	26.64
179	174	4	16.43
543	118	3	12.32
145	130	5	7.08
115	108	20	5.34
109	2207	3	17.94
12	332	19	63.54
165	142	26	161.34
12	129	25	4.34
184	263	5	31.62
101	987	4	7.08
101	943	6	14.81
106	767	5	17.18
223	14	20	21.18
101	868	11	40.37
111	166	5	3.85
160	184	5	21.44
2075	484	3	40.23
119	104	44	32.96
780	102	5	13.27
1829	102	4	16.63
583	103	3	4.18
135	174	7	24.07
101	2008	6	27.75
122	214	3	5.93
371	121	17	121.53
103	839	3	6.02
263	207	5	34.55
688	113	9	54.53
828	102	5	13.74
102	2835	3	13.39
319	109	5	11.98
717	113	6	31.25
109	1936	3	16.94
660	103	3	4.7
1063	108	5	25.74
106	770	7	29.22
106	846	7	30.77
1660	102	3	9.71
675	102	19	106.57
279	140	3	11.07
117	704	4	19.93
142	450	3	15.38
218	142	4	14.42
145	150	8	26.09
101	1753	6	25.39
179	165	3	10.09
161	785	3	22.35
115	179	10	25.88
103	959	7	28.68
103	2672	3	14.2
198	121	7	21.63
163	145	3	6.14
291	118	4	12.47
136	193	3	6.86
988	101	4	7.08
101	1113	13	67.62
2098	101	4	13.67
304	2971	5	78.44
101	1248	3	4.8
281	144	10	64.43
1154	114	3	14.22
102	686	4	7.91
101	406	14	32.52
106	136	24	22.07
101	488	5	4.47
380	189	3	19.26
475	128	6	35.43
484	105	8	23.72
110	586	22	172.42
378	156	3	15.83
1767	1030	6	101.09
181	123	5	11.5
473	14	11	21.26
3548	108	3	22.75
1622	207	4	44.2
1279	121	3	18.83
326	145	3	13.31
104	483	11	40.13
206	118	9	32.06
2527	116	3	22.84
171	248	6	37.99
305	323	4	33.33
1201	113	3	14.6
1309	102	6	25.53
102	1697	3	10.42
118	160	10	26.52
101	1500	7	28.61
2208	102	4	19.33
213	122	4	9.93
144	160	4	9.61
332	219	3	20.29
130	558	7	47.55
1318	106	5	23.11
176	118	14	52.04
125	103	34	18
285	21	3	11.96
1221	103	3	8.35
437	953	6	77.57
150	192	3	8.92
114	282	4	8.8
1386	14	4	8.66
103	284	11	23.44
5049	14	3	17.25
136	545	10	79.34
106	1184	6	29.34
150	122	5	6.69
1899	102	3	11.23
2946	113	3	22.27
140	124	6	6.87
1770	111	3	17.02
950	102	4	10.43
5457	102	3	21.54
101	3058	3	11.74
431	14	14	29.63
229	574	3	24.93
131	115	11	10.84
305	232	4	29.29
199	243	3	16.18
124	123	10	12.16
137	145	8	20.41
105	1069	4	12.84
220	122	5	14.93
102	3389	3	17.1
434	104	4	5.61
133	509	4	21.64
105	1672	3	10.82
121	259	3	7.59
281	296	3	21.82
913	12	3	5.61
189	106	7	4.38
113	145	54	224.22
286	257	4	30
151	133	5	8.91
101	1768	3	7.4
106	1893	5	29.66
103	942	4	11.44
104	3262	3	16.07
103	1046	3	7.56
648	102	3	4.04
126	237	3	7.84
504	267	3	25.36
882	104	3	6.58
394	113	14	78.58
468	102	6	12.01
112	1315	3	14.74
110	879	3	11.6
109	1780	6	43.45
101	2241	3	9.1
146	448	3	15.87
134	167	3	4.85
349	103	5	6.2
344	1172	3	33.07
655	106	3	6.12
598	103	4	7.77
1384	121	3	19.37
309	152	3	13.99
104	2288	4	20.86
228	109	5	7.73
101	757	6	11.81
101	825	4	5.57
12	352	16	49.31
138	104	64	141.13
218	491	3	23.17
101	2101	4	13.67
246	128	30	226.38
101	3371	3	11.74
105	1421	4	16.19
111	1144	3	13.57
1096	110	9	62.83
107	629	3	8.03
101	257	15	19.28
101	315	23	60.56
105	668	4	8.97
153	251	3	12.35
835	102	6	18.79
171	104	18	25.44
105	1866	3	11.53
150	117	7	10.02
286	961	4	43.04
109	253	37	222.35
144	147	17	75.83
