originals	tokenized
Ng~a	Ng~ a
Ema	E m a
ma	m a
amE	a m E
mimi	m i m i
mE	m E
mi	m i
mami	m a m i
mya	m y a
my~a	my~ a
n	n
am	a m
im	i m
minaN	m i n a N
ina	i n a
yaNw~	y a Nw~
i	i
ya	y a
yaN	y a N
yaNya	y a N y a
i	i
ya	y a
yang~	y a ng~
yang~ ya	y a ng~   y a
mina	m i n a
oNi	o N i
No5	N o 5
a5i	a 5 i
oNNi	o N N i
oN5i	o N 5 i
wiN	w i N
5aTi	5 a T i
ne	n e
Na	N a
mo	m o
mi	m i
eni	e n i
5o	5 o
ne	n e
dE	d E
mi	m i
mi	m i
mi	m i
mi	m i
mu*	m u*
ma	m a
ma	m a
mo	m o
3m3	3 m 3
ye	y e
nE	n E
mi	m i
E	E
ma	m a
mbi	m b i
ni	n i
me	m e
5e	5 e
mi	m i
mb~i	mb~ i
ihy~eji	i hy~ e j i
ihy~eTi	i hy~ e T i
ne	n e
ngi	n g i
mu	m u
ne	n e
n	n
n	n
n	n
ma	m a
na	n a
n	n
5aN	5 a N
n	n
n	n
m ma	m   m a
ge	g e
n	n
n	n
n	n
5a	5 a
ng~i	ng~ i
nE	n E
n	n
mE	m E
n	n
n	n
n	n
n	n
mi	m i
annu	a n n u
ja	j a
ji	j i
Ta	T a
Ti	T i
a7a	a 7 a
a7a	a 7 a
a7a	a 7 a
a7a	a 7 a
a7a	a 7 a
a7a	a 7 a
a7aN	a 7 a N
a7a	a 7 a
a7a	a 7 a
iNa	i N a
ali	a l i
ma	m a
ma	m a
ma	m a
ma	m a
male	m a l e
ma	m a
ma	m a
m	m
ma	m a
m	m
ma	m a
mane	m a n e
iniTenewan	i n i T e n e w a n
ma	m a
man	m a n
aga	a g a
aga	a g a
aN	a N
ag	a g
ag	a g
yanaNg~a	y a n a Ng~ a
a	a
ai	a i
su	s u
si	s i
ka	k a
ada	a d a
aTa	a T a
Era	E r a
ara	a r a
aka	a k a
uo	u o
ga	g a
aka	a k a
aga	a g a
ga7	g a 7
ga	g a
aha7	a h a 7
ma	m a
mama	m a m a
ama	a m a
nCi	n C i
nka	n k a
ay	a y
aya	a y a
aba	a b a
aba	a b a
ma	m a
ma	m a
ma	m a
ma	m a
ma	m a
ma	m a
3ma	3 m a
amo	a m o
am	a m
ama	a m a
am	a m
amo	a m o
ayanda	a y a n d a
ima	i m a
ma	m a
umu	u m u
umu	u m u
umo	u m o
ma	m a
ma	m a
ma	m a
ma	m a
ma	m a
ma	m a
ma	m a
mE	m E
ma	m a
ma	m a
mE	m E
ma	m a
ma	m a
ma	m a
ma	m a
ma	m a
ag	a g
on	o n
an	a n
an	a n
an	a n
anih	a n i h
nan	n a n
aneC	a n e C
nanu	n a n u
xEn	x E n
yEn	y E n
xEn	x E n
xEn	x E n
naN	n a N
a	a
an	a n
a	a
eka	e k a
nan	n a n
anE	a n E
aeoN	a e o N
nan	n a n
an	a n
naN	n a N
an	a n
nanu	n a n u
i	i
nan	n a n
ane	a n e
ane	a n e
nan	n a n
ane	a n e
hEn	h E n
ayyo	a y y o
ayo	a y o
nan	n a n
nanu	n a n u
ani	a n i
ani	a n i
nan	n a n
nan	n a n
nanu	n a n u
nanu	n a n u
nan	n a n
an	a n
ani	a n i
nanu	n a n u
yan	y a n
yan	y a n
oN	o N
ayoN	a y o N
ama	a m a
e	e
e	e
3i	3 i
ay	a y
ai	a i
jE	j E
tiN	t i N
taNa	t a N a
hay	h a y
ay	a y
ax3y	a x 3 y
ay	a y
ya	y a
ay	a y
axay	a x a y
xay	x a y
ayi	a y i
ay	a y
anda	a n d a
nana	n a n a
na	n a
an	a n
ani	a n i
a4i	a 4 i
et	e t
anet	a n e t
a5i	a 5 i
ani	a n i
a4i	a 4 i
aneta	a n e t a
wa	w a
nan	n a n
tani	t a n i
tarE	t a r E
wu	w u
wu	w u
wu	w u
tani	t a n i
tarE	t a r E
anu	a n u
ani	a n i
n3k	n 3 k
N3C	N 3 C
n3C	n 3 C
n3ki	n 3 k i
naS	n a S
neS	n e S
n3k	n 3 k
n3k	n 3 k
n3k	n 3 k
n3C	n 3 C
n3SS	n 3 S S
n3k	n 3 k
niS	n i S
niS	n i S
n3S	n 3 S
nak	n a k
n3k	n 3 k
nak7	n a k 7
nak	n a k
nek	n e k
n3k	n 3 k
nki	n k i
n3S	n 3 S
n3C	n 3 C
nk	n k
nik	n i k
n3S	n 3 S
n37k	n 3 7 k
nik	n i k
ka	k a
kata	k a t a
duaN	d u a N
no	n o
ndou	n d o u
dau	d a u
do	d o
yE	y E
TiTe	T i T e
n3	n 3
yu	y u
na	n a
naya	n a y a
n	n
u	u
don	d o n
duaN	d u a N
na	n a
ya	y a
yah	y a h
na	n a
n3	n 3
ta	t a
m3	m 3
Na	N a
mu	m u
ma	m a
tanu	t a n u
mutan	m u t a n
m	m
mu	m u
ma	m a
ta	t a
matta	m a t t a
m	m
me	m e
mi	m i
mo	m o
ya	y a
Ta	T a
Na	N a
3N	3 N
nay	n a y
ya	y a
an	a n
ani	a n i
an	a n
En	E n
an	a n
an	a n
an	a n
an	a n
En	E n
an	a n
an	a n
yan	y a n
an	a n
ani	a n i
ani	a n i
ana	a n a
nora	n o r a
no	n o
non	n o n
ma	m a
inti	i n t i
ten	t e n
na	n a
nata	n a t a
num	n u m
nd~e	nd~ e
na	n a
ind~i	i nd~ i
nara	n a r a
na	n a
anu	a n u
3nu	3 n u
anu	a n u
yelo	y e l o
yelo	y e l o
3ni	3 n i
ani	a n i
ani	a n i
ani	a n i
ana	a n a
ani	a n i
e	e
ana	a n a
ana	a n a
yu	y u
