Left	Grapheme	Right	Class	IPA	Examples	Comments
	o	1$		ɔ	rot
	o	11		ɔ	lompen
	o	2		ɔ	otter
	oo			o	groot, dood
	oe			u	snoep, stoer
	ou			ɑu	nou, stout, mouw, trouwen	is <ouw> something special?
	ooi			oi	prooi, dooi
	oei			ui	groei, stoeien
o	ö			o	zoölogisch
o	ö	1$		ɔ	protozoön
o	ö	11		ɔ	coördinatie		
o	ö	2		ɔ		no examples?
	oui			uy	bouillon
	oi			ʋa	trottoir
sp	oi	ler		ɔi	spoiler
cr	oi	ssant		uɑ	croissant
l	o	ge		ɔ:	loge
sc	oo	ter		u	scooter
	oe	deem		ø	oedeem
r	ou	te		u	route
b	ou	levard		u	boulevard
f	ou	lard		u	foulard
m	ou	sse		u	mousse
cl	ow	n		ɑu	clown
d	ow	n		ɑu	down
tourned	os			o	tournedos
dep	ot			o	depot
tric	ot			o	tricot
ge	ö			o	geölied
f	ö	hn		ø	föhn
fr	ö	bel		ø	fröbelen
l	ö	ss		œ	löss
	ö	ntgen		œ	röntgen
	p		1	p	papier, lip
	pp		2	p	appel, kapper	
	qu			kʋ	aqua, quota
	r		1	r	raar, erg
	rr		2	r	korrel
dau	ph	in		f	dauphin
ma	qu	ette		k	maquette
	qu	otiënt		k	quotiënt
en	qu	ête		k	enquête
	qu	e$		k	cheque, plaque, toque
	qu	i		kʋ	quiz	to prevent graphemic <ui>
^	q	at		k	qat
	q	werty		k	qwerty-toetsenbord
^	rh			r	rhesus	only initial?
	s		1	s	bos, sla, basis
	ss		2	s	husselen, bessen
i	sch	e?$		s	agrarisch	Suffix "-isch"
fa	s	e		z	fase
amu	s	e		z	amuse
ti	ss	ue		ʃ	tissue
	sc	i		s	fascinatie, abscis, fascist
	sc	è		s	scène
	sc	ene		s	ensceneren
^	sh			ʃ	show, shawl, sherry	only initial?
	sj			ʃ	sjaal, sjokken, sjablone, kalasjnikov, meisje
hau	sse			s	hausse
mou	sse			s	mousse
	ssi	o		ʃ	missionaris
	ssi	è		ʃ	cassière
	t		1	t	tak, hotel, kat
	tt		2	t	otter, motto
	t	ies?[^kf]		ts	acquisitie, journalistiek, creatief	not with "journalistiek" or "creatief"
c	t	ies?$		s	attracties
^e	tu	i$		tʋ	etui
	ti	o		ʃ	nationaal
	ti	ë		ʃ	quotiënt
	tsj			tʃ	tsjilp, hatsji
	tch			tʃ	stopwatch
	tsch	$		tʃ	kitsch
	tj			c	tjokvol, bootje
^	th			t	thee, thuis, theater
qui	tte			t	quitte
bague	tte			t	baguette
	u			y	nu, luxe, ambigu
	u	1$		œ	dun
	u	w		y	uw, ruw
	u	11		œ	buks, fust
	u	2		œ	rubber
	uu			y	vuur, duur
	ui			œy	huis, trui
ge	ui			œy	geuit	to prevent g-eu-i-t
	ü			y	reünie
r	u	mba		u	rumba
ïll	u	stre		y	geïllustreerd
s	u	cces		y	succes
bl	ue	s		u:	blues
fond	ue			y	fondue
m	ue	sli		y	muesli
rev	ue			y	revue
tiss	ue			u	tissue
^aj	uus	$		y	ajuus
^j	us	$		y	jus
grapefr	ui	t		u	grapefruit
	v		1	v	even
^	v			f	vier	Initial Devoicing
	v	$		f	pilav, kalasjnikov	Final Devoicing
	w			ʋ	ruw, water, luwte
	x		2	ks	examen, context
	y			i	systeem, hybride, trendy
	z		1	z	zee, azijn, sperzieboon
	zz		2	z	jazz, mazzel
	z	$		s	quiz, hertz	Final Devoicing
n	y	lon		ɛɪ	nylon
id	y	lle		ɪ	idylle
ro	y	aal		j	royaal	/j/ between vowels, but infrequent
cra	y	on		j	crayon
me	zz	o		ts	mezzo
pi	zz	a		ts	pizza
ra	zz	ia		ts	razzia
fe	z	$		z	fez
^|-	A	.		a	Adel
^|-	A	1$		ɑ	Al
^|-	A	11		ɑ	Ander
^|-	A	2		ɑ	Adder
^|-	Aa	.		a	Aarde
^|-	Aai			aɪ	Aaien
^|-	Au	.		ɑu	Auto
^|-	E	.		e	Enig
^|-	É	.		e	Éven
^|-	E	1$		ɛ	Er
^|-	E	11		ɛ	Ernst
^|-	E	2		ɛ	Emmen
^|-	Ee	.		e	Eendracht
^|-	Eé	.		e	Eén
^|-	Ei	.		ɛɪ	Eindhoven
^|-	Eu	.		ø	Europa
^|-	Eeu	.		eu	Eeuwig
^|-	I	.		i	Italië
^|-	I	1$		ɪ	Ik
^|-	I	11		ɪ	Islam
^|-	I	2		ɪ	Immers, Innovatie
^|-	Ie	.		i	Iersel
^|-	IJ			ɛɪ	IJsland	Famous spacial case in Dutch
^|-	O	.		o	Olympisch
^|-	O	1$		ɔ	Om
^|-	O	11		ɔ	Osdorp
^|-	O	2		ɔ	Ottomaans
^|-	Oo	.		o	Oostenrijk
^|-	Oe	.		u	Oezbekistan
^|-	Ou	.		ɑu	Ouddorp
^|-	Ooi			oi	Ooivaar
^|-	Oei			ui	Oeigoeren
^|-	U	.		y	Unilever
^|-	U	1$		œ	Uk
^|-	U	11		œ	Ultra
^|-	U	2		œ	Ubbergen
^|-	U	w		y	Uw
^|-	Uu	.		y	Uurtarief
^|-	Ui			œy	Uithof
^|-	B	.		b	Belgisch
^|-	C	.		k	Curaçao
^|-	D	.		d	Delft
^|-	F	.		f	Friesland
^|-	G	.		ɣ	Groningen
^|-	H	.		h	Holland
^|-	J	.		j	Joods
^|-	K	.		k	Koninklijke
^|-	L	.		l	Limburg
^|-	M	.		m	Maastricht
^|-	N	.		n	Nijmegen
^|-	P	.		p	Parijs
^|-	Qu	.		kʋ	Quiz
^|-	Q	aida		k	Qaida
^|-	Q	aeda		k	Qaeda
^|-	R	.		r	Rotterdem
^|-	S	.		s	Spanje
^|-	T	.		t	Tilburg
^|-	Tsj	.		tʃ	Tsjech
^|-	V	.		f	Vlaanderen
^|-	W	.		ʋ	Waarom
^|-	X	.		ks	Xanten
^|-	Y	.		j	Yoga
^|-	Y	1		i	Yvonne
^|-	Z	.		z	Zweden
	'				zo'n, foto's
	'	r		ə	d'r
.	-	.			e-mail
	á			a	ná
	á	1$		ɑ	dát, wát
	á	11		ɑ	ándere
	á	2		ɑ	álles
	áá			a	dáár
	éé			e	één
	í	1$		ɪ	ín
	í	11		ɪ	wíst
	í	2		ɪ	bínnen
	íe			i	níet, íets
	íé			i	níét
	íj			ɛɪ	wíj
	ì	1$		ɪ	ìn
	ì	11		ɪ		no examples?
	ì	2		ɪ	wìllen
	ìe			i	nìet
	ìj			ɛɪ	hìj
	eì			ɛɪ		no examples?
	éí			ɛɪ	éígen
	uì			œy	uìt
	ó			o	zó
	ó	1$		ɔ	óf
	ó	11		ɔ	zónder
	ó	2		ɔ	tóch
	óó			o	óók, vóór
	óú			ɑu	jóúw
	óe			u	móeten
	óói			oi	nóóit
	ò			o	voorkòmen
	ò	1$		ɔ	òf
	ò	11		ɔ	ònze
	ò	2		ɔ	tòch
	òò			o	vòòr
	òòi			oi	nòòit
	ú			y	nú
	ú	1$		œ	hún
	ú	w		y	úw
	ú	11		œ	dúrven
	ú	2		œ	kúnnen
	úú			y	natúúrlijk
