matched_rules	Left	Grapheme	Right	Class	IPA	Examples	Comments
33		b	$		p	web	final devoicing
16	ch	a	t		ɛ	chat	
1	r	a	cket		ɛ	racket	
3	j	a	ck		ɛ	jack	
1	baseb	a	ll		ɔ	baseball	
1	stopw	a	tch		ɔ	stopwatch	
1	b	a	seball		e	baseball	
2	s	a	fe		e	safe	
3	r	a	ce		e	race	
1	^sjw	a			ɑ	sjwa	
4	isl	a	m		a	Islam	exception to rule a->ɑ/_1$ above)
1	foul	a	rd		a	foulard	exceptions to rule a->ɑ/_11 above
1	branc	a	rd		a	brancard	exceptions to rule a->ɑ/_11 above
1	boulev	a	rd		a	boulevard	exceptions to rule a->ɑ/_11 above
1631		a	2		ɑ	adder, kappen	before double consonant grapheme
3520		a	11		ɑ	ramp, vasten	before two different consonsonants
982		a	1$		ɑ	pad, kam	before single consonant and end of word
21		'				zo'n, foto's	
1655		z		1	z	zee, azijn, sperzieboon	
683		y			i	systeem, hybride, trendy	
285		x		2	ks	examen, context	
2518		w			ʋ	ruw, water, luwte	
2712		v		1	v	even	
1026		u			y	nu, luxe, ambigu	
12908		t		1	t	tak, hotel, kat	
11000		s		1	s	bos, sla, basis	
17212		r		1	r	raar, erg	
4348		p		1	p	papier, lip	
3942		o			o	schotel, rodeo	
15830		n		1	n	niets, man, lenen	
4785		m		1	m	met, oma, oom	
9189		l		1	l	lepel	
5219		k		1	k	keuken, kroket	
515		j			j	jaar, bajes, meisje	
3581		i			i	liter, juni	
2177		h			h	huis, alcohol	
5577		g		1	ɣ	oogst, heugenis	possibly often /x/
2065		f		1	f	fiets, stof	
6182		e			e	zenuw, peper	
5805		d		1	d	deur, adel	
1901		c		1	k	consument, chic, corps	
3948		b		1	b	bal, tabel	
5487		a			a	tafel, na	
